frame_id,capture_mono_ns,recv_mono_ns,save_mono_ns
347,15037896065472,194647686768346,194647687706902
348,15037928187760,194647725560541,194647726610531
351,15038028061544,194647778402786,194647779615636
352,15038063993352,194647840278187,194647841271584
353,15038096241835,194647880297664,194647881259982
354,15038128074388,194647928430461,194647929420766
355,15038163415060,194648005695973,194648006712912
356,15038195989267,194648018310683,194648019338915
357,15038227078290,194648020081813,194648021015191
358,15038263106243,194648042949793,194648044015250
359,15038296154661,194648059725871,194648060664663
360,15038327281027,194648116102113,194648117190115
361,15038364068343,194648141619390,194648142702620
362,15038395922509,194648170481811,194648171458636
364,15038464065510,194648279867651,194648280857455
365,15038495648796,194648289659520,194648290700001
366,15038528165608,194648298105224,194648299024732
367,15038563097485,194648401057299,194648402108152
368,15038595103420,194648402156437,194648403098646
369,15038627994653,194648417630454,194648418545828
370,15038659938662,194648495466987,194648496574063
371,15038695642922,194648496415551,194648497278147
372,15038728067809,194648531421448,194648532433811
373,15038759941090,194648658845938,194648659836319
374,15038795105359,194648674263735,194648675213289
375,15038827208219,194648686546961,194648687516914
376,15038859561649,194648730309453,194648731331276
377,15038896058136,194648807172624,194648808161676
378,15038927151794,194648816544851,194648817574618
380,15038995967909,194648820209337,194648821206495
381,15039027884626,194648874995039,194648875964254
382,15039059963946,194648893025035,194648894076634
384,15039127641381,194649003057629,194649004010060
385,15039159070502,194649004052959,194649004880151
386,15039196075575,194649014536970,194649015446298
389,15039295339993,194649084936642,194649086223251
390,15039327189785,194649144292038,194649145241026
391,15039359993832,194649172787537,194649173827090
392,15039396122929,194649199167727,194649200294413
393,15039427873139,194649260788036,194649261769769
394,15039459435592,194649261806682,194649262777135
395,15039495991557,194649301104030,194649302074319
396,15039528152854,194649337057580,194649338036392
397,15039559051932,194649359938915,194649360931340
398,15039595703208,194649459755037,194649460763077
399,15039628231530,194649460827018,194649461695000
400,15039659103265,194649489194371,194649490219654
401,15039695992350,194649532621180,194649533524138
402,15039728053284,194649556532802,194649557396499
403,15039759252878,194649601776177,194649602951583
405,15039828161074,194649617332015,194649618245417
406,15039860172530,194649673510809,194649674405784
407,15039896821931,194649692962650,194649693908103
408,15039928286781,194649735589015,194649736563416
409,15039959323097,194649817858547,194649819198694
410,15039995944217,194649819055210,194649819952846
411,15040027103916,194649819973213,194649820832803
412,15040059102247,194649875889597,194649876875263
413,15040095054315,194649910587146,194649911542289
414,15040128093567,194649977135002,194649978272888
416,15040191932835,194650004632040,194650005646486
417,15040227078302,194650005524990,194650006480853
418,15040260292447,194650013285875,194650014270409
419,15040292117031,194650078514183,194650079422366
420,15040328069360,194650088491698,194650089368153
421,15040359002812,194650128735490,194650129652301
422,15040391053851,194650178926458,194650179891718
423,15040427905436,194650179840699,194650180704540
424,15040460045535,194650332046842,194650333060800
425,15040492131469,194650333110471,194650333997961
426,15040527983539,194650369767632,194650370722096
427,15040560067911,194650394626479,194650395516044
428,15040591114643,194650436551020,194650437485753
441,15041027965626,194650973658569,194650974799809
442,15041060786964,194650977641157,194650978600908
443,15041091515316,194650993781259,194650994681891
447,15041227970949,194651053964160,194651054934701
448,15041260061258,194651121488554,194651122409234
449,15041291903081,194651142104548,194651143087113
450,15041327653851,194651157538540,194651158533604
452,15041391933737,194651167265616,194651168283179
453,15041427029726,194651258915614,194651259867598
454,15041460253402,194651297755216,194651298679975
455,15041491967154,194651317821522,194651318750023
456,15041528214218,194651370847331,194651371871083
457,15041559958855,194651371953905,194651372823140
458,15041592141818,194651457369652,194651458357709
459,15041623990308,194651458528228,194651459418579
460,15041659994146,194651496601973,194651497576736
461,15041692145912,194651525453047,194651526339167
463,15041759030444,194651600714797,194651601659600
464,15041791159242,194651634550099,194651635476575
465,15041823867665,194651647259108,194651648179774
466,15041860050511,194651693732333,194651694647150
467,15041891930563,194651715546492,194651716566590
468,15041923980768,194651764727304,194651766303457
469,15041959491646,194651775484734,194651776449475
470,15041991900230,194651818708761,194651819693164
471,15042023952362,194651844488836,194651845430451
472,15042059986357,194651892644078,194651893626080
473,15042091981406,194652000873785,194652001854221
475,15042159009998,194652013465828,194652014521270
476,15042192126488,194652014425135,194652015392637
477,15042223858938,194652016393516,194652017369457
478,15042259057216,194652080751598,194652081699976
479,15042292047406,194652094620343,194652095642911
480,15042324140996,194652098727811,194652099738130
481,15042360052179,194652160510746,194652161634084
482,15042391087453,194652240778168,194652241773461
483,15042423960093,194652248610731,194652249578146
484,15042459680290,194652285638135,194652286598674
485,15042491433052,194652315443058,194652316546892
486,15042523078576,194652357703925,194652358714218
487,15042559941099,194652435928927,194652436949867
488,15042591563290,194652440669628,194652441666610
490,15042659988473,194652515620437,194652516743123
491,15042691871337,194652556747775,194652557732188
492,15042724118622,194652557683031,194652558562472
493,15042759961266,194652573434083,194652574488269
494,15042791186536,194652616373185,194652617349581
495,15042824128133,194652657406636,194652658405079
497,15042891938326,194652684528539,194652685437117
498,15042923498071,194652732617694,194652733669864
499,15042959547169,194652755572381,194652756515515
500,15042991038893,194652800518046,194652801579871
501,15043023934762,194652817567972,194652818526853
502,15043059907611,194652858453855,194652859365985
503,15043090999603,194653016604878,194653017687089
516,15043523428521,194653360167416,194653361512063
517,15043556061165,194653376397010,194653377636709
518,15043592163439,194653433512808,194653434517809
520,15043655933646,194653493424495,194653494420216
521,15043691939255,194653529008444,194653530301825
522,15043724193780,194653562516525,194653563528066
523,15043755935136,194653567708108,194653568725279
524,15043791040135,194653633490465,194653634493905
525,15043822975133,194653674442394,194653675463713
526,15043855965531,194653694371704,194653695435337
527,15043891457972,194653727641247,194653728688072
528,15043923929368,194653767488275,194653768519650
529,15043955828221,194653818512076,194653819577998
530,15043991959454,194653838533446,194653839615905
531,15044023874036,194653851534966,194653852566828
532,15044055892731,194653898495722,194653899551978
533,15044091899278,194654047483451,194654048551589
534,15044122969395,194654053421246,194654054320074
535,15044155956824,194654078439026,194654079402155
536,15044191894622,194654084462049,194654085376104
537,15044223933681,194654089374905,194654090282301
538,15044256174248,194654093614822,194654094500887
540,15044324166678,194654113501069,194654114386579
541,15044355828712,194654177580750,194654178556793
543,15044422997926,194654257292709,194654258373309
544,15044455873378,194654285520317,194654286436272
545,15044491837686,194654313410967,194654314298184
546,15044524136585,194654359369379,194654360358348
547,15044555908982,194654370402383,194654371315618
548,15044590955596,194654439510127,194654440510076
549,15044623832559,194654479440601,194654480395803
550,15044655941877,194654493478186,194654494423594
552,15044723942067,194654573392276,194654574390584
553,15044755883785,194654574436463,194654575370199
